address,type,symbol
0x10068d10,library,??_EScript@RBX@@WBE@AEPAXI@Z
0x10068e80,library,??_E?$DescribedCreatable@VLocalScript@RBX@@VScript@2@$1?sLocalScript@2@3PADA@RBX@@UAEPAXI@Z
0x10068e80,library,??_G?$DescribedCreatable@VLocalScript@RBX@@VScript@2@$1?sLocalScript@2@3PADA@RBX@@UAEPAXI@Z
0x10068fd0,library,??_GScript@RBX@@UAEPAXI@Z
0x10068fd0,library,??_EScript@RBX@@UAEPAXI@Z
0x10068ff0,library,??1?$DescribedCreatable@VLocalScript@RBX@@VScript@2@$1?sLocalScript@2@3PADA@RBX@@UAE@XZ
0x10069590,library,?classDescriptor@?$Described@VScript@RBX@@$1?sScript@2@3PADAV?$FactoryProduct@VScript@RBX@@VInstance@2@$1?sScript@2@3PADA@2@@Reflection@RBX@@SAAAVClassDescriptor@23@XZ
0x10069810,library,?classDescriptor@?$Described@VLocalScript@RBX@@$1?sLocalScript@2@3PADAV?$FactoryProduct@VLocalScript@RBX@@VScript@2@$1?sLocalScript@2@3PADA@2@@Reflection@RBX@@SAAAVClassDescriptor@23@XZ
0x100699a0,library,??0Script@RBX@@QAE@XZ
0x10069c80,library,??_E?$DescribedCreatable@VLocalScript@RBX@@VScript@2@$1?sLocalScript@2@3PADA@RBX@@WBA@AEPAXI@Z
0x10069c90,library,??_E?$DescribedCreatable@VLocalScript@RBX@@VScript@2@$1?sLocalScript@2@3PADA@RBX@@WBE@AEPAXI@Z
0x10069cd0,library,??0LocalScript@RBX@@QAE@XZ
0x10069db0,library,??_ELocalScript@RBX@@WBA@AEPAXI@Z
0x10069dc0,library,??_ELocalScript@RBX@@WBE@AEPAXI@Z
0x10069e10,library,??1LocalScript@RBX@@UAE@XZ
0x10069e60,library,??_ELocalScript@RBX@@UAEPAXI@Z
0x10069e60,library,??_GLocalScript@RBX@@UAEPAXI@Z
0x1006cd10,library,??1?$Notifier@VInstance@RBX@@VPropertyChanged@2@@RBX@@MAE@XZ
0x1006cd10,library,??1?$Notifier@VStandardOut@RBX@@UStandardOutMessage@2@@RBX@@MAE@XZ
0x10088f30,library,?classDescriptor@?$Described@VShirtGraphic@RBX@@$1?sShirtGraphic@2@3QBDBV?$FactoryProduct@VShirtGraphic@RBX@@VCharacterAppearance@2@$1?sShirtGraphic@2@3QBDB@2@@Reflection@RBX@@SAAAVClassDescriptor@23@XZ
0x10088fa0,library,?classDescriptor@?$Described@VBodyColors@RBX@@$1?sBodyColors@2@3QBDBV?$FactoryProduct@VBodyColors@RBX@@VCharacterAppearance@2@$1?sBodyColors@2@3QBDB@2@@Reflection@RBX@@SAAAVClassDescriptor@23@XZ
0x10089390,library,?classDescriptor@?$Described@VHint@RBX@@$1?sHint@2@3PADAV?$FactoryProduct@VHint@RBX@@VMessage@2@$1?sHint@2@3PADA@2@@Reflection@RBX@@SAAAVClassDescriptor@23@XZ
0x1008c790,library,??1Message@RBX@@UAE@XZ
0x1008c880,library,??_E?$DescribedCreatable@VHint@RBX@@VMessage@2@$1?sHint@2@3PADA@RBX@@WBA@AEPAXI@Z
0x1008c880,library,??_EHint@RBX@@WBA@AEPAXI@Z
0x1008caa0,library,??_G?$DescribedCreatable@VObjectValue@RBX@@VInstance@2@$1?sObjectValue@2@3PADA@RBX@@UAEPAXI@Z
0x1008caa0,library,??_E?$DescribedCreatable@VObjectValue@RBX@@VInstance@2@$1?sObjectValue@2@3PADA@RBX@@UAEPAXI@Z
0x1008cad0,library,??_E?$DescribedCreatable@VObjectValue@RBX@@VInstance@2@$1?sObjectValue@2@3PADA@RBX@@WBE@AEPAXI@Z
0x1008cb80,library,??1?$DescribedCreatable@VObjectValue@RBX@@VInstance@2@$1?sObjectValue@2@3PADA@RBX@@UAE@XZ
0x1008cc60,library,?classDescriptor@?$Described@VObjectValue@RBX@@$1?sObjectValue@2@3PADAV?$FactoryProduct@VObjectValue@RBX@@VInstance@2@$1?sObjectValue@2@3PADA@2@@Reflection@RBX@@SAAAVClassDescriptor@23@XZ
0x1008dbe0,library,?classDescriptor@?$Described@VMotorFeature@RBX@@$1?sMotorFeature@2@3QBDBV?$FactoryProduct@VMotorFeature@RBX@@VFeature@2@$1?sMotorFeature@2@3QBDB@2@@Reflection@RBX@@SAAAVClassDescriptor@23@XZ
0x1008dc50,library,?classDescriptor@?$Described@VHole@RBX@@$1?sHole@2@3QBDBV?$FactoryProduct@VHole@RBX@@VFeature@2@$1?sHole@2@3QBDB@2@@Reflection@RBX@@SAAAVClassDescriptor@23@XZ
0x1008e350,library,??_E?$DescribedCreatable@VObjectValue@RBX@@VInstance@2@$1?sObjectValue@2@3PADA@RBX@@WBA@AEPAXI@Z
0x1008e400,library,??0Hint@RBX@@QAE@XZ
0x1008e470,library,??_E?$DescribedCreatable@VHint@RBX@@VMessage@2@$1?sHint@2@3PADA@RBX@@WBE@AEPAXI@Z
0x1008e470,library,??_EHint@RBX@@WBE@AEPAXI@Z
0x1008e4b0,library,??_G?$DescribedCreatable@VHint@RBX@@VMessage@2@$1?sHint@2@3PADA@RBX@@UAEPAXI@Z
0x1008e4b0,library,??_E?$DescribedCreatable@VHint@RBX@@VMessage@2@$1?sHint@2@3PADA@RBX@@UAEPAXI@Z
0x1008e4b0,library,??_EHint@RBX@@UAEPAXI@Z
0x1008e4b0,library,??_GHint@RBX@@UAEPAXI@Z
0x1008e4d0,library,??0ObjectValue@RBX@@QAE@XZ
0x1008e5a0,library,??_EObjectValue@RBX@@WBE@AEPAXI@Z
0x1008e610,library,??_EObjectValue@RBX@@WBA@AEPAXI@Z
0x1008e620,library,??1ObjectValue@RBX@@UAE@XZ
0x1008e6a0,library,??_EObjectValue@RBX@@UAEPAXI@Z
0x1008e6a0,library,??_GObjectValue@RBX@@UAEPAXI@Z
0x100bdfa0,library,??_E?$DescribedCreatable@VTeam@RBX@@VInstance@2@$1?sTeam@2@3QBDB@RBX@@UAEPAXI@Z
0x100bdfa0,library,??_G?$DescribedCreatable@VTeam@RBX@@VInstance@2@$1?sTeam@2@3QBDB@RBX@@UAEPAXI@Z
0x100bdfd0,library,??_E?$DescribedCreatable@VTeam@RBX@@VInstance@2@$1?sTeam@2@3QBDB@RBX@@WBA@AEPAXI@Z
0x100be010,library,??1Team@RBX@@UAE@XZ
0x100be080,library,??_ETeam@RBX@@WBA@AEPAXI@Z
0x100be090,library,??_ETeam@RBX@@WBE@AEPAXI@Z
0x100be200,library,??_ETeam@RBX@@UAEPAXI@Z
0x100be200,library,??_GTeam@RBX@@UAEPAXI@Z
0x100be5f0,library,??_E?$DescribedCreatable@VTeam@RBX@@VInstance@2@$1?sTeam@2@3QBDB@RBX@@WBE@AEPAXI@Z
0x100be630,library,??0Team@RBX@@QAE@XZ
0x100c27d0,library,??_E?$DescribedCreatable@VCamera@RBX@@VInstance@2@$1?sCamera@2@3PADA@RBX@@WBE@AEPAXI@Z
0x100c2ee0,library,??1?$DescribedCreatable@VCamera@RBX@@VInstance@2@$1?sCamera@2@3PADA@RBX@@UAE@XZ
0x100c3a60,library,?classDescriptor@?$Described@VCamera@RBX@@$1?sCamera@2@3PADAV?$FactoryProduct@VCamera@RBX@@VInstance@2@$1?sCamera@2@3PADA@2@@Reflection@RBX@@SAAAVClassDescriptor@23@XZ
0x100c40e0,library,??_E?$DescribedCreatable@VCamera@RBX@@VInstance@2@$1?sCamera@2@3PADA@RBX@@WBA@AEPAXI@Z
0x100c4100,library,??_G?$DescribedCreatable@VCamera@RBX@@VInstance@2@$1?sCamera@2@3PADA@RBX@@UAEPAXI@Z
0x100c4100,library,??_E?$DescribedCreatable@VCamera@RBX@@VInstance@2@$1?sCamera@2@3PADA@RBX@@UAEPAXI@Z
0x100c4120,library,??0Camera@RBX@@QAE@XZ
0x100c42f0,library,??_ECamera@RBX@@WBE@AEPAXI@Z
0x100c4360,library,??_ECamera@RBX@@WBA@AEPAXI@Z
0x100c4370,library,??1Camera@RBX@@UAE@XZ
0x100c4450,library,??_GCamera@RBX@@UAEPAXI@Z
0x100c4450,library,??_ECamera@RBX@@UAEPAXI@Z
0x100d0410,synthetic,??_EWorld@RBX@@WBI@AEPAXI@Z
0x100e0510,library,??_E?$DescribedCreatable@VShirtGraphic@RBX@@VCharacterAppearance@2@$1?sShirtGraphic@2@3QBDB@RBX@@WBA@AEPAXI@Z
0x100e0580,library,??_EBodyColors@RBX@@WBA@AEPAXI@Z
0x100e0580,library,??_E?$DescribedCreatable@VBodyColors@RBX@@VCharacterAppearance@2@$1?sBodyColors@2@3QBDB@RBX@@WBA@AEPAXI@Z
0x100e0590,library,??_EBodyColors@RBX@@WBE@AEPAXI@Z
0x100e0590,library,??_E?$DescribedCreatable@VBodyColors@RBX@@VCharacterAppearance@2@$1?sBodyColors@2@3QBDB@RBX@@WBE@AEPAXI@Z
0x100e05f0,library,??_ESkin@RBX@@WBE@AEPAXI@Z
0x100e05f0,library,??_E?$DescribedCreatable@VSkin@RBX@@VCharacterAppearance@2@$1?sSkin@2@3QBDB@RBX@@WBE@AEPAXI@Z
0x100e0630,library,??_ESkin@RBX@@WBA@AEPAXI@Z
0x100e0630,library,??_E?$DescribedCreatable@VSkin@RBX@@VCharacterAppearance@2@$1?sSkin@2@3QBDB@RBX@@WBA@AEPAXI@Z
0x100e0920,library,??1?$DescribedCreatable@VShirtGraphic@RBX@@VCharacterAppearance@2@$1?sShirtGraphic@2@3QBDB@RBX@@UAE@XZ
0x100e0930,library,??1ShirtGraphic@RBX@@UAE@XZ
0x100e0a80,library,??1?$DescribedCreatable@VSkin@RBX@@VCharacterAppearance@2@$1?sSkin@2@3QBDB@RBX@@UAE@XZ
0x100e0b50,library,??1?$DescribedCreatable@VBodyColors@RBX@@VCharacterAppearance@2@$1?sBodyColors@2@3QBDB@RBX@@UAE@XZ
0x100e0cb0,library,??_GShirt@RBX@@UAEPAXI@Z
0x100e0cb0,library,??_EShirt@RBX@@UAEPAXI@Z
0x100e0cb0,library,??_G?$DescribedCreatable@VShirt@RBX@@VShirtGraphic@2@$1?sShirt@2@3QBDB@RBX@@UAEPAXI@Z
0x100e0cb0,library,??_E?$DescribedCreatable@VShirt@RBX@@VShirtGraphic@2@$1?sShirt@2@3QBDB@RBX@@UAEPAXI@Z
0x100e0d50,library,??1?$DescribedCreatable@VShirt@RBX@@VShirtGraphic@2@$1?sShirt@2@3QBDB@RBX@@UAE@XZ
0x100e0d60,library,?classDescriptor@?$Described@VShirt@RBX@@$1?sShirt@2@3QBDBV?$FactoryProduct@VShirt@RBX@@VShirtGraphic@2@$1?sShirt@2@3QBDB@2@@Reflection@RBX@@SAAAVClassDescriptor@23@XZ
0x100e0dd0,library,?classDescriptor@?$Described@VSkin@RBX@@$1?sSkin@2@3QBDBV?$FactoryProduct@VSkin@RBX@@VCharacterAppearance@2@$1?sSkin@2@3QBDB@2@@Reflection@RBX@@SAAAVClassDescriptor@23@XZ
0x100e1280,library,??_E?$DescribedCreatable@VShirtGraphic@RBX@@VCharacterAppearance@2@$1?sShirtGraphic@2@3QBDB@RBX@@WBE@AEPAXI@Z
0x100e1290,library,??_G?$DescribedCreatable@VShirtGraphic@RBX@@VCharacterAppearance@2@$1?sShirtGraphic@2@3QBDB@RBX@@UAEPAXI@Z
0x100e1290,library,??_E?$DescribedCreatable@VShirtGraphic@RBX@@VCharacterAppearance@2@$1?sShirtGraphic@2@3QBDB@RBX@@UAEPAXI@Z
0x100e1380,library,??_GBodyColors@RBX@@UAEPAXI@Z
0x100e1380,library,??_EBodyColors@RBX@@UAEPAXI@Z
0x100e1380,library,??_E?$DescribedCreatable@VBodyColors@RBX@@VCharacterAppearance@2@$1?sBodyColors@2@3QBDB@RBX@@UAEPAXI@Z
0x100e1380,library,??_G?$DescribedCreatable@VBodyColors@RBX@@VCharacterAppearance@2@$1?sBodyColors@2@3QBDB@RBX@@UAEPAXI@Z
0x100e1440,library,??0ShirtGraphic@RBX@@QAE@XZ
0x100e1540,library,??_EShirtGraphic@RBX@@WBA@AEPAXI@Z
0x100e1550,library,??_EShirtGraphic@RBX@@WBE@AEPAXI@Z
0x100e15a0,library,??_EShirtGraphic@RBX@@UAEPAXI@Z
0x100e15a0,library,??_GShirtGraphic@RBX@@UAEPAXI@Z
0x100e15c0,library,??0Skin@RBX@@QAE@XZ
0x100e16b0,library,??_ESkin@RBX@@UAEPAXI@Z
0x100e16b0,library,??_GSkin@RBX@@UAEPAXI@Z
0x100e16b0,library,??_E?$DescribedCreatable@VSkin@RBX@@VCharacterAppearance@2@$1?sSkin@2@3QBDB@RBX@@UAEPAXI@Z
0x100e16b0,library,??_G?$DescribedCreatable@VSkin@RBX@@VCharacterAppearance@2@$1?sSkin@2@3QBDB@RBX@@UAEPAXI@Z
0x100e16d0,library,??0BodyColors@RBX@@QAE@XZ
0x100e18d0,library,??_E?$DescribedCreatable@VShirt@RBX@@VShirtGraphic@2@$1?sShirt@2@3QBDB@RBX@@WBA@AEPAXI@Z
0x100e18d0,library,??_EShirt@RBX@@WBA@AEPAXI@Z
0x100e18e0,library,??_E?$DescribedCreatable@VShirt@RBX@@VShirtGraphic@2@$1?sShirt@2@3QBDB@RBX@@WBE@AEPAXI@Z
0x100e18e0,library,??_EShirt@RBX@@WBE@AEPAXI@Z
0x100e1990,library,??0Shirt@RBX@@QAE@XZ
0x100e4410,library,??1Feature@RBX@@UAE@XZ
0x100e4500,library,??_EFeature@RBX@@WBA@AEPAXI@Z
0x100e4510,library,??_EFeature@RBX@@WBE@AEPAXI@Z
0x100e48c0,library,??_EMotorFeature@RBX@@WBA@AEPAXI@Z
0x100e48c0,library,??_E?$DescribedCreatable@VMotorFeature@RBX@@VFeature@2@$1?sMotorFeature@2@3QBDB@RBX@@WBA@AEPAXI@Z
0x100e4c60,library,??_GFeature@RBX@@UAEPAXI@Z
0x100e4c60,library,??_EFeature@RBX@@UAEPAXI@Z
0x100e4ea0,library,??1?$DescribedCreatable@VHole@RBX@@VFeature@2@$1?sHole@2@3QBDB@RBX@@UAE@XZ
0x100e4eb0,library,??1?$DescribedCreatable@VMotorFeature@RBX@@VFeature@2@$1?sMotorFeature@2@3QBDB@RBX@@UAE@XZ
0x100e7160,library,??0Feature@RBX@@QAE@XZ
0x100e7880,library,??_E?$DescribedCreatable@VHole@RBX@@VFeature@2@$1?sHole@2@3QBDB@RBX@@WBA@AEPAXI@Z
0x100e7880,library,??_EHole@RBX@@WBA@AEPAXI@Z
0x100e7890,library,??_G?$DescribedCreatable@VHole@RBX@@VFeature@2@$1?sHole@2@3QBDB@RBX@@UAEPAXI@Z
0x100e7890,library,??_GHole@RBX@@UAEPAXI@Z
0x100e7890,library,??_E?$DescribedCreatable@VHole@RBX@@VFeature@2@$1?sHole@2@3QBDB@RBX@@UAEPAXI@Z
0x100e7890,library,??_EHole@RBX@@UAEPAXI@Z
0x100e78b0,library,??0Hole@RBX@@QAE@XZ
0x100e7990,library,??_EHole@RBX@@WBE@AEPAXI@Z
0x100e7990,library,??_E?$DescribedCreatable@VHole@RBX@@VFeature@2@$1?sHole@2@3QBDB@RBX@@WBE@AEPAXI@Z
0x100e79a0,library,??0MotorFeature@RBX@@QAE@XZ
0x100e7aa0,library,??_EMotorFeature@RBX@@WBE@AEPAXI@Z
0x100e7aa0,library,??_E?$DescribedCreatable@VMotorFeature@RBX@@VFeature@2@$1?sMotorFeature@2@3QBDB@RBX@@WBE@AEPAXI@Z
0x100e7ab0,library,??_GMotorFeature@RBX@@UAEPAXI@Z
0x100e7ab0,library,??_EMotorFeature@RBX@@UAEPAXI@Z
0x100e7ab0,library,??_G?$DescribedCreatable@VMotorFeature@RBX@@VFeature@2@$1?sMotorFeature@2@3QBDB@RBX@@UAEPAXI@Z
0x100e7ab0,library,??_E?$DescribedCreatable@VMotorFeature@RBX@@VFeature@2@$1?sMotorFeature@2@3QBDB@RBX@@UAEPAXI@Z
0x100ea2a0,library,??_EBodyMover@RBX@@WBE@AEPAXI@Z
0x100ea330,library,??_EBodyMover@RBX@@WBA@AEPAXI@Z
0x100ea340,library,??1BodyMover@RBX@@UAE@XZ
0x100eb640,library,??_E?$DescribedCreatable@VBodyVelocity@RBX@@VBodyMover@2@$1?sBodyVelocity@2@3PADA@RBX@@WBE@AEPAXI@Z
0x100eb640,library,??_EBodyVelocity@RBX@@WBE@AEPAXI@Z
0x100eb6e0,library,??_E?$DescribedCreatable@VRocket@RBX@@VBodyMover@2@$1?sRocket@2@3PADA@RBX@@WBE@AEPAXI@Z
0x100eb730,library,??_G?$DescribedCreatable@VBodyGyro@RBX@@VBodyMover@2@$1?sBodyGyro@2@3PADA@RBX@@UAEPAXI@Z
0x100eb730,library,??_E?$DescribedCreatable@VBodyGyro@RBX@@VBodyMover@2@$1?sBodyGyro@2@3PADA@RBX@@UAEPAXI@Z
0x100eb730,library,??_GBodyGyro@RBX@@UAEPAXI@Z
0x100eb730,library,??_EBodyGyro@RBX@@UAEPAXI@Z
0x100eb750,library,??_G?$DescribedCreatable@VBodyThrust@RBX@@VBodyMover@2@$1?sBodyThrust@2@3PADA@RBX@@UAEPAXI@Z
0x100eb750,library,??_E?$DescribedCreatable@VBodyThrust@RBX@@VBodyMover@2@$1?sBodyThrust@2@3PADA@RBX@@UAEPAXI@Z
0x100eb750,library,??_GBodyThrust@RBX@@UAEPAXI@Z
0x100eb750,library,??_EBodyThrust@RBX@@UAEPAXI@Z
0x100eb770,library,??_EBodyPosition@RBX@@UAEPAXI@Z
0x100eb770,library,??_G?$DescribedCreatable@VBodyPosition@RBX@@VBodyMover@2@$1?sBodyPosition@2@3PADA@RBX@@UAEPAXI@Z
0x100eb770,library,??_GBodyPosition@RBX@@UAEPAXI@Z
0x100eb770,library,??_E?$DescribedCreatable@VBodyPosition@RBX@@VBodyMover@2@$1?sBodyPosition@2@3PADA@RBX@@UAEPAXI@Z
0x100ebaf0,library,??_GBodyMover@RBX@@UAEPAXI@Z
0x100ebaf0,library,??_EBodyMover@RBX@@UAEPAXI@Z
0x100ec040,library,??1?$DescribedCreatable@VRocket@RBX@@VBodyMover@2@$1?sRocket@2@3PADA@RBX@@UAE@XZ
0x100ec050,library,??1?$DescribedCreatable@VBodyGyro@RBX@@VBodyMover@2@$1?sBodyGyro@2@3PADA@RBX@@UAE@XZ
0x100ec1a0,library,?classDescriptor@?$Described@VBodyPosition@RBX@@$1?sBodyPosition@2@3PADAV?$FactoryProduct@VBodyPosition@RBX@@VBodyMover@2@$1?sBodyPosition@2@3PADA@2@@Reflection@RBX@@SAAAVClassDescriptor@23@XZ
0x100ec210,library,?classDescriptor@?$Described@VBodyVelocity@RBX@@$1?sBodyVelocity@2@3PADAV?$FactoryProduct@VBodyVelocity@RBX@@VBodyMover@2@$1?sBodyVelocity@2@3PADA@2@@Reflection@RBX@@SAAAVClassDescriptor@23@XZ
0x100ec5c0,library,?classDescriptor@?$Described@VBodyGyro@RBX@@$1?sBodyGyro@2@3PADAV?$FactoryProduct@VBodyGyro@RBX@@VBodyMover@2@$1?sBodyGyro@2@3PADA@2@@Reflection@RBX@@SAAAVClassDescriptor@23@XZ
0x100ec630,library,?classDescriptor@?$Described@VBodyForce@RBX@@$1?sBodyForce@2@3PADAV?$FactoryProduct@VBodyForce@RBX@@VBodyMover@2@$1?sBodyForce@2@3PADA@2@@Reflection@RBX@@SAAAVClassDescriptor@23@XZ
0x100ec6a0,library,?classDescriptor@?$Described@VBodyThrust@RBX@@$1?sBodyThrust@2@3PADAV?$FactoryProduct@VBodyThrust@RBX@@VBodyMover@2@$1?sBodyThrust@2@3PADA@2@@Reflection@RBX@@SAAAVClassDescriptor@23@XZ
0x100ec710,library,?classDescriptor@?$Described@VRocket@RBX@@$1?sRocket@2@3PADAV?$FactoryProduct@VRocket@RBX@@VBodyMover@2@$1?sRocket@2@3PADA@2@@Reflection@RBX@@SAAAVClassDescriptor@23@XZ
0x100ecf10,library,??_E?$DescribedCreatable@VBodyGyro@RBX@@VBodyMover@2@$1?sBodyGyro@2@3PADA@RBX@@WBA@AEPAXI@Z
0x100ecf10,library,??_EBodyGyro@RBX@@WBA@AEPAXI@Z
0x100ecf20,library,??_E?$DescribedCreatable@VBodyGyro@RBX@@VBodyMover@2@$1?sBodyGyro@2@3PADA@RBX@@WBE@AEPAXI@Z
0x100ecf20,library,??_EBodyGyro@RBX@@WBE@AEPAXI@Z
0x100ed280,library,??_EBodyForce@RBX@@WBA@AEPAXI@Z
0x100ed280,library,??_E?$DescribedCreatable@VBodyForce@RBX@@VBodyMover@2@$1?sBodyForce@2@3PADA@RBX@@WBA@AEPAXI@Z
0x100ed290,library,??_EBodyForce@RBX@@WBE@AEPAXI@Z
0x100ed290,library,??_E?$DescribedCreatable@VBodyForce@RBX@@VBodyMover@2@$1?sBodyForce@2@3PADA@RBX@@WBE@AEPAXI@Z
0x100ed460,library,??0BodyGyro@RBX@@QAE@XZ
0x100ed570,library,??0BodyPosition@RBX@@QAE@XZ
0x100ed680,library,??_EBodyPosition@RBX@@WBA@AEPAXI@Z
0x100ed680,library,??_E?$DescribedCreatable@VBodyPosition@RBX@@VBodyMover@2@$1?sBodyPosition@2@3PADA@RBX@@WBA@AEPAXI@Z
0x100ed690,library,??_EBodyPosition@RBX@@WBE@AEPAXI@Z
